Timestamp,humidity,temperature,sound,pm25,NO2,C2H5OH,VOC,CO
1694797189.95829,35,27,0,0,60,61,99,121
1694797194.9076931,35,27,11,0,68,60,99,122
1694797199.939593,35,27,0,0,71,61,100,121
1694797204.9095008,35,27,11,0,68,61,99,122
1694797302.077232,35,27,0,0,68,62,101,121
1694797376.6260648,36,27,0,0,75,64,105,123
1694797480.774384,35,27,0,0,66,60,100,121
1694797528.187296,35,27,0,0,48,57,94,121
1694797557.467427,36,27,0,0,66,56,93,122
1694797613.0331972,36,26,5,0,57,56,91,122
1694797617.861205,36,26,0,0,56,55,92,122
1694797622.920102,36,26,0,0,55,55,91,123
1694797637.875504,36,26,12,0,80,57,93,124
1694797678.635617,36,26,14,0,74,60,97,123
1694797704.5165749,36,26,0,0,88,62,100,125
1694797719.4021702,36,26,0,0,93,66,105,124
1694797939.322647,35,27,2,0,103,73,115,125
1694797954.785072,35,27,0,0,107,74,118,124
1694797987.6564312,35,27,2,0,67,71,114,122
1694797992.9224849,35,27,5,0,65,69,112,123
1694798015.248998,34,27,1,0,77,67,110,124
1694798020.437992,34,27,0,0,76,68,109,123
1694798041.547696,34,27,3,0,72,68,109,123
1694798129.8917482,34,27,0,0,86,71,114,122
1694798160.8180742,34,27,5,0,83,71,113,122
1694798165.744431,34,27,0,0,72,70,111,123
1694798171.722995,34,27,0,0,65,68,109,124
1694798258.114687,34,27,4,0,109,73,116,127
1694798263.105443,34,27,6,0,109,74,117,127
1694798268.133129,34,27,0,0,99,75,117,126
1694798319.101363,34,27,2,0,117,76,119,127
1694798381.773422,34,27,0,0,81,73,117,124
1694798427.6759832,34,27,0,0,112,79,124,127
1694798456.553151,34,27,0,0,112,82,128,126
1694798461.685826,34,27,0,0,120,82,129,127
1694798487.787942,34,27,0,0,95,81,127,125
1694798493.111518,34,27,2,0,100,81,127,126
1694798612.10109,34,27,3,0,77,74,118,126
1694798767.957244,35,27,0,0,125,86,131,131
1694798844.450409,34,27,0,0,112,87,134,129
1694798849.365984,34,27,1,0,114,87,135,127
1694798865.552789,34,27,0,0,105,86,134,127
1694798870.642836,34,27,0,0,101,85,133,128
1694798894.479063,34,27,0,0,127,89,136,128
1694798922.17035,34,27,0,0,132,91,139,128
1694798927.423244,34,27,0,0,140,93,143,130
1694798949.92129,34,27,0,0,135,99,148,129
1694798977.666803,34,27,0,0,111,96,145,125
1694799004.913033,34,27,0,0,107,91,141,123
1694799032.539878,34,28,0,0,114,92,143,123
1694799133.117186,33,27,0,0,88,84,132,128
1694799138.0283148,33,27,6,0,87,82,131,128
1694799143.051122,33,27,4,0,84,81,130,128
1694799148.4191208,33,27,6,0,80,81,128,128
1694799153.494837,33,27,4,0,78,79,127,129
1694799158.227027,33,27,0,0,81,79,126,129
1694799163.255918,33,27,0,0,89,79,127,130
1694799168.342093,33,27,1,0,98,79,128,130
1694799336.2815602,33,27,0,0,78,74,120,132
1694799367.002209,34,27,0,0,81,72,119,132
1694799397.407826,34,27,0,0,79,72,118,133
1694799447.490434,34,27,1,0,87,70,116,133
1694799503.195277,35,27,10,0,102,78,125,133
1694799508.1603122,35,27,2,0,99,79,125,133
1694799518.248277,35,27,0,0,93,77,125,133
1694799528.693363,35,27,10,0,86,76,123,131
1694799538.636725,34,27,5,0,83,75,122,130
1694799722.545102,35,27,2,0,75,66,110,134
1694799737.70117,36,27,0,0,76,66,109,135
1694799753.055216,36,27,0,0,70,66,109,132
1694799964.4590468,36,27,0,0,91,71,115,130
1694800053.70545,36,27,0,0,102,81,127,131
1694800096.22973,36,27,0,0,78,74,119,130
1694800127.839319,35,27,0,0,92,73,117,131
1694800176.641236,35,27,0,0,89,75,121,130
1694800303.873179,35,27,0,0,95,73,117,132
1694800381.340874,35,27,0,0,118,87,132,136
1694800547.691113,35,27,0,0,90,80,128,132
1694800560.315509,35,27,0,0,99,81,129,133
1694800595.4108832,34,27,0,0,101,79,127,134
1694800743.483049,34,27,0,0,153,98,151,136
1694800753.720866,34,27,0,0,160,103,157,138
1694800758.8436291,34,27,0,0,138,102,155,136
1694800790.451475,34,27,3,0,131,98,152,133
1694800854.236964,34,27,0,0,107,94,148,133
1694800887.925548,34,27,0,0,144,100,154,136
1694800900.932259,34,27,0,0,134,101,154,134
1694801026.1666188,33,27,2,0,153,118,177,137
1694801096.313738,33,27,0,0,156,126,183,141
1694801107.063445,33,27,0,0,146,124,182,139
1694801140.240583,33,28,0,0,170,125,185,142
1694801147.6045702,33,27,0,0,174,127,188,143
1694801152.5308611,33,27,18,0,177,130,191,144
1694801176.184512,33,27,0,0,164,133,193,143
1694801372.68902,33,28,0,0,154,127,188,140
1694801383.648484,33,28,0,0,164,130,190,141
1694801408.015327,33,28,0,0,150,131,192,140
1694801452.354419,33,28,0,0,173,132,194,141
1694801603.644625,34,27,1,0,174,136,195,154
1694801648.450471,34,27,0,0,143,130,190,156
